City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Airai,TL,80.91,Clouds,-8.9266,125.4092,
87,Pitimbu,BR,75.79,Clouds,-7.4706,-34.8086,Reserva do Abiaí
88,North Platte,US,68.38,Clear,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
92,Geraldton,AU,75.61,Clear,-28.7667,114.6,Broadwater Mariner Resort
97,Shingu,JP,77.41,Clouds,33.7333,135.9833,Shingu UI Hotel
98,Laje,BR,70.23,Clear,-10.1833,-40.9667,NN Pousada
102,Ilhabela,BR,67.66,Clouds,-23.7781,-45.3581,Ilha Flat Hotel
104,Malpe,IN,78.1,Clouds,13.35,74.7167,Hotel Sri Krishna Residency
105,Livingstone,ZM,70.43,Clear,-17.8419,25.8543,Gloria's Bed and Breakfast
106,Souillac,MU,70.18,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
107,Rundu,,68.43,Clouds,-17.9333,19.7667,Millennia Estate
109,Bethel,US,66.56,Clear,41.3712,-73.414,Courtyard by Marriott Danbury
112,Sao Joao Da Barra,BR,70.95,Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
113,Vaini,TO,78.96,Clouds,-21.2,-175.2,Keleti Beach Resort
114,Pacifica,US,67.57,Clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
115,Camacha,PT,65.62,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
116,Itarema,BR,78.31,Clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
117,Ternate,ID,83.48,Clouds,0.8,127.4,Sahid Bela Ternate Hotel
120,Riyadh,SA,73.54,Clear,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
122,Port-Gentil,GA,76.5,Rain,-0.7193,8.7815,Fengshui Residence
124,Jalu,LY,75.56,Clear,29.0331,21.5482,صاحبة الفخامة
128,Avarua,CK,78.85,Clouds,-21.2078,-159.775,Paradise Inn
